,0,1
0,apr,15726
1,gmt,14204
2,1993,11926
3,writes,11658
4,references,10316
5,article,10053
6,sender,8809
7,people,8075
8,university,7986
9,1,7447
10,nntp-posting-host,6856
11,93,6690
12,2,5958
13,xref,4849
14,cantaloupe.srv.cs.cmu.edu,4840
15,news,3959
16,distribution,3824
17,3,3623
18,god,3589
19,0,3571
20,max>'ax>'ax>'ax>'ax>'ax>'ax>'ax>'ax>'ax>'ax>'ax>'ax>'ax>'ax,3307
21,20,3004
22,5,2942
23,6,2894
24,4,2866
25,16,2832
26,15,2605
27,government,2597
28,21,2588
29,question,2567
30,reply-to,2447
31,read,2425
32,usenet,2347
33,usa,2346
34,windows,2301
35,david,2178
36,software,2147
37,data,2144
38,program,2121
39,file,2115
40,23,2114
41,10,2055
42,space,2047
43,version,2018
44,science,1983
45,power,1974
46,john,1954
47,drive,1916
48,22,1896
49,fri,1883
50,day,1868
51,true,1859
52,law,1855
53,public,1829
54,tue,1807
55,game,1800
56,19,1778
57,8,1767
58,7,1740
59,lot,1739
60,car,1732
61,set,1729
62,real,1698
63,17,1693
64,systems,1683
65,support,1679
66,life,1650
67,free,1648
68,list,1624
69,jesus,1590
70,image,1588
71,sun,1583
72,18,1579
73,card,1579
74,24,1562
75,reason,1549
76,25,1535
77,wrong,1532
78,message,1530
79,thu,1530
80,hard,1529
81,post,1529
82,key,1525
83,mon,1474
84,center,1460
85,internet,1452
86,technology,1434
87,bit,1433
88,email,1407
89,bad,1402
90,send,1402
91,files,1399
92,heard,1396
93,team,1378
94,26,1374
95,person,1373
96,evidence,1361
97,christian,1347
98,access,1343
99,mark,1338
100,wrote,1332
101,jews,1325
102,national,1315
103,children,1302
104,14,1295
105,idea,1294
106,human,1291
107,e-mail,1291
108,opinions,1290
109,12,1287
110,mail,1281
111,times,1271
112,control,1267
113,keywords,1260
114,questions,1253
115,book,1247
116,change,1245
117,start,1243
118,note,1231
119,left,1227
120,chip,1225
121,remember,1213
122,phone,1209
123,30,1197
124,window,1193
125,israel,1190
126,based,1188
127,word,1177
128,9,1174
129,code,1169
130,michael,1159
131,gun,1156
132,standard,1152
133,institute,1149
134,followup-to,1148
135,source,1147
136,11,1144
137,stuff,1142
138,rights,1142
139,net,1138
140,info,1132
141,13,1124
142,money,1116
143,department,1114
144,games,1111
145,president,1106
146,answer,1103
147,27,1095
148,price,1093
149,running,1087
150,graphics,1079
151,agree,1075
152,dos,1072
153,local,1067
154,address,1067
155,steve,1064
156,buy,1064
157,matter,1062
158,american,1062
159,paul,1061
160,days,1060
161,mac,1060
162,bible,1050
163,mike,1048
164,war,1046
165,hope,1044
166,told,1041
167,pretty,1041
168,live,1037
169,approved,1036
170,care,1032
171,disk,1032
172,current,1030
173,play,1027
174,issue,1026
175,original,1023
176,feel,1012
177,claim,1012
178,sale,1005
179,network,996
180,love,996
181,jim,996
182,understand,993
183,fax,985
184,religion,983
185,truth,982
186,box,977
187,programs,975
188,simply,972
189,college,967
190,mind,967
191,history,966
192,april,955
193,machine,952
194,speed,952
195,engineering,950
196,started,950
197,guess,949
